id,Y,X2,X3,X4,X5,X6,X7,X8,X9,X10_2,X11_2,X12_2,X13_2,X14_2,X15_2,X15_3,X15_4,X15_5,X15_6,X16_2,X16_3,X16_4,X16_5,X16_6,X17_2,X17_3,X17_4,X17_5,X17_6,X18_2,X18_3,X18_4,X18_5,X18_6,X18_7,X19_2,X19_3,X19_4,X19_5,X19_6,X19_7,X19_8,X19_9,X19_10,X20_2,X20_3,X20_4,X21_2,X21_3,X22_2,X22_3,X22_4,X22_5,X22_6,X22_7,X22_8,X22_9,X22_10,X22_11,X23_2,X23_3,X24_2
403184,0,2.492,0.827,-0.83,-0.432,-0.537,0.124,-0.302,-0.211,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
410648,0,0.403,-0.307,-0.561,-0.563,2.422,1.872,0.431,-0.211,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
415198,0,0.403,1.079,-0.83,-0.694,0.203,0.686,-0.302,-0.211,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
407608,0,-0.85,-0.81,-0.291,-0.694,-0.537,-0.225,0.212,-0.211,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
407694,0,0.32,-0.181,-0.695,-0.301,0.943,0.021,-0.082,-0.211,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
401474,0,-0.599,-1.188,-0.561,-0.825,-0.537,-0.626,-0.302,-0.069,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
412628,0,0.905,0.323,0.92,0.223,0.203,-0.048,-0.302,-0.211,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
402558,0,0.988,1.583,-0.695,0.616,0.203,-0.626,-0.155,-0.069,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
411814,0,1.406,1.457,2.94,-0.563,-0.537,0.309,-0.302,-0.211,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
415194,0,-0.516,0.323,-0.695,-0.17,-0.537,-0.293,0.028,-0.211,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
416562,0,-0.432,-0.685,-0.157,-0.432,0.943,-0.147,-0.302,-0.211,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
416046,0,-0.599,0.197,-0.157,-0.301,-0.537,-0.058,0.431,-0.069,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
405450,0,-0.182,-0.936,-0.022,-0.301,-0.537,-0.209,-0.265,-0.14,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
